pagina,categoria,nombre_curso,seccion,nombre_taller,profesores,codigo,horario,instagram,descripcion,imagenes
15,Talleres Verticales,,,Taller de Productos Sostenibles,Alejandra Ruiz + Felipe Sepúlveda,DIS8626,MA - VI 08:30 - 12:50,@estudiosterritorialesenmoda,"Taller de Productos Sostenibles propone abordar la materia más allá de su condición técnica o estandarizada, explorando su potencial activo y culturalmente situado. El curso invita a explorar materiales excluidos de los circuitos tradicionales de diseño y producción; residuales, subvalorados o desplazados, entendidos como materias capaces de transformarse y adquirir nuevos significados culturales, estéticos y de valor en el contexto latinoamericano del diseño. Desde esta aproximación, se promueve el diseño de objetos como dispositivos sensibles, críticos y situados. A través de un enfoque de diseño sostenible, el aula se concibe como un laboratorio de investigación, análisis de ciclo de vida y medición de impacto ambiental, orientado al desarrollo de procesos donde la materia guía el devenir proyectual. Inspirado en cruces entre diseño, ciencia, arte y pensamiento crítico, el curso fomenta un proceso de observación, análisis, conceptualización, experimentación y desarrollo objetual final. A través de un marco teórico sólido, ensayos materiales, exploraciones formales, narrativas visuales y prototipos finales, los estudiantes desarrollan microcolecciones de objetos de diseño en diversas escalas, desde piezas vinculadas al cuerpo hasta objetos que dialogan con el espacio habitable, concebidas con un alto valor conceptual, funcional y estético, considerando su potencial de circulación en contextos culturales, editoriales y de mercado. El taller aborda además la dirección de arte y la comunicación del producto, incorporando el desarrollo de una pieza audiovisual y un catálogo editorial que articulan relato, materialidad e intención, fortaleciendo la lectura autoral y crítica del estudiante.",p15_00.jpg
16,Talleres Verticales,,,Taller de Objetos y Espacios Museográficos,María de la Paz Faúndez + Aribel González,DIS8628,MA 14:30 - 18:45 -,@tpe.udp,"El Taller de Objetos y Espacios constituye una exploración profunda en la conceptualización, diseño, gestión y ejecución de exhibiciones en distintos espacios en Santiago. Fundado en tres pilares esenciales: investigación, prácticas curatoriales, y propuestas de puesta en valor expositivo, el taller busca proporcionar las herramientas y habilidades necesarias para concebir, desarrollar y presentar exposiciones significativas. Cuenta con un enfoque integral y colaborativo, desde el que se desarrollarán ejercicios basados en la utilización de diversos recursos espaciales, materiales, gráficos y audiovisuales, según los requerimientos del proyecto. En la práctica, el taller recibe un encargo externo para realizar la conceptualización, diseño, construcción y montaje de una exhibición real, lo que significa que el taller completo trabaja en el desarrollo de un proyecto profesional vinculado con el medio. Esto implica trabajar con un presupuesto y tiempo acotado, en un espacio real con ventajas y limitaciones, y en un contexto de trabajo que puede implicar varias instituciones asociadas. Durante el primer semestre de 2026 se trabajará en conjunto con la fundación Momento Ciudadano para el montaje de la exposición: De scouts, cristaleros y pingüinos: Participación infantojuvenil en el Chile del siglo XX (1907-2006), en el Museo de la Memoria, inaugurando la primera semana de julio de 2026.",p16_00.jpg; p16_01.jpg; p16_02.jpg; p16_03.jpg
17,Talleres Verticales,,,Taller de Indumentaria,M.Eugenia Ibarra + Paulina Romero,DIS8630,MA - VI 08:30 - 12:50,@taller,"El Taller de Indumentaria propone una exploración en profundidad del vestuario, los accesorios y los elementos que configuran un atuendo, entendido como un Sistema Comunicativo y un instrumento de construcción identitaria. Desde esta mirada, el vestir se aborda como lenguaje, objeto y práctica cultural. Para alcanzar los objetivos del curso, el taller entrega herramientas metodológicas y técnicas, promueve el desarrollo de habilidades disciplinares relevantes y fomenta el trabajo colaborativo en el aula. Estas instancias permiten conceptualizar, diseñar, construir y comunicar proyectos integrales, considerando las múltiples variables que intervienen en el diseño de indumentaria. La aproximación al medio se define desde una postura informada, crítica y reflexiva, en diálogo con el contexto contemporáneo, favoreciendo propuestas pertinentes y coherentes con el entorno social, cultural y productivo actual. Durante el taller se diseñarán familias de productos indumentarios, comprendidas como un Sistema Vestimentario que responde a necesidades reales y contingentes, preparando a los y las estudiantes para un escenario profesional dinámico y concreto. En esta etapa se simulará un contexto de trabajo profesional a partir de un encargo específico, impulsando la investigación de marca como punto de partida para la materialización de productos nuevos y diferenciados. En este proceso, conceptos como usuario, diseño diferenciado, análisis de la competencia y viabilidad productiva adquieren un rol central. Finalmente, el taller promueve la investigación material como estrategia de diferenciación, tensionando la relación entre lo artesanal y lo mecanizado, y priorizando técnicas sustentables y de bajo impacto ambiental. Esto conduce a la exploración de técnicas de estampación con bloques, que permiten producir telas por metraje o intervenir zonas específicas, aportando valor y singularidad al producto final.",p17_00.jpg; p17_01.jpg; p17_02.jpg; p17_03.jpg
18,Talleres Verticales,,,Taller de Branding: Productos y servicios,Manuel Córdova + Ariel Altamirano,DIS8634,MA - VI 08:30 - 12:50,@tiyda_udp,"Curso teórico práctico orientado al estudio y desarrollo de proyectos de diseño vinculados al branding y la identidad visual para contrapartes reales. La asignatura explorará metodologías, contenidos y ejercicios que acercarán a las y los estudiantes a un contexto disciplinar profesional a través de tres unidades temáticas: festivales, museos y ferias.",p18_00.jpg
19,Talleres Verticales,,,Taller de Prácticas Editoriales Expandidas (Taller invitado 1),Sebastián Barrante + Sebastián Arancibia,DIS8640,MA - VI 08:30 - 12:50,,"naranjapublicaciones.com/ editorialefimera.com/ Este taller es un espacio de investigación y creación editorial, enfocado en explorar las publicaciones de artista como fuente de estrategias conceptuales y herramientas materiales que permiten reflexionar sobre cuestiones fundamentales para el diseño. Entendidas como obras de arte autónomas, estas piezas actúan en un espacio interdisciplinar, permitiendo articular puentes entre el diseño, la edición y las artes visuales. A través del estudio teórico, análisis crítico y ejercicios prácticos vinculados a este tipo de obras artísticas, el curso entrega insumos sobre cómo las herramientas y lógicas propias de la “publicación como forma de arte” pueden ser desplazadas para pensar y resolver problemas planteados a partir de casos reales. ¿Puede una publicación ser a la vez una exposición de arte? Durante el primer semestre de 2026 reflexionaremos sobre los formatos y estrategias de registro documental en las artes visuales, preguntándonos por la sobrevivencia de las exhibiciones temporales posterior a su cierre. A través de la evaluación, valoración y cuestionamiento de metodologías utilizadas en casos reales pasados, obtendremos insumos para proyectar soluciones para dos exposiciones, a través de la experimentación de un proceso editorial completo que comprenderá desde la conceptualización hasta la producción, teniendo en cuenta variables como la viabilidad técnica y económica. Bajo la tipología de Publication as Exhibition utilizada por artistas conceptuales durante las décadas del 60 y 70, el encargo consistirá en desarrollar proyectos que permitan traducir y extender la vida de una muestra temporal posterior a su cierre, y a la vez, comportarse como obras autónomas.",p19_00.jpg
20,Talleres Verticales,,,Taller de Investigación y desarrollo material,Vicente Stephens + Margarita Talep,DIS8643,MA 14:30 - 18:45 -,@procesos.fabricacion.udp,"Este taller se distingue por su enfoque metodológico centrado en la exploración material y los procesos productivos. Busca cultivar la habilidad de los estudiantes para diseñar objetos y familias de muebles a través de una profunda inmersión en los procesos industriales y la experimentación con diversos materiales. Este enfoque integral fusiona la creatividad con la viabilidad práctica, preparando a los estudiantes para concebir soluciones innovadoras y funcionalmente sólidas. A lo largo del curso, se fomenta la unión entre la observación conceptual y la aplicación técnica, terminando el taller en la capacidad de concebir y materializar productos que reflejan una comprensión profunda de los procesos productivos y una sensibilidad de los materiales.",p20_00.jpg
21,Talleres Verticales,,,Taller de Diseño de Máquinas Electrónicas,Aarón Montoya + Matías Serrano,DIS8644,MA - VI 08:30 - 12:50,@teee.udp,"El taller de diseño de máquinas electrónicas es un espacio donde estudiaremos los rudimentos de circuitos eléctricos, y por medio de la aplicación de sensores y actuadores, seremos capaces de detectar, procesar y responder en base a fenómenos físicos, mecánicos y eléctricos. El taller usa metodologías prácticas donde nos aproximamos materialmente al trabajo con componentes electrónicos y el control de flujos electromagnéticos, para así poder diseñar dispositivos bajo el marco disciplinar del Diseño de Interacción. Desarrollaremos proyectos aplicados de diseño de máquinas e interfaces humano-computador (HCI), que puedan sintetizar y modular elementos de audio, iluminación, movimiento y señales electrónicas en general. Los productos de este curso son conducentes tanto a generar publicaciones académicas del ámbito de diseño de interacción y diseño de circuitos, como también la experimentación lúdica para proyectos colaborativos con el mundo profesional y artístico. ¡Únete para aprender en conjunto nuevas habilidades de diseño de interacción, prototipado de circuitos y dar vida a nuevas máquinas electrónicas!",p21_00.jpg
22,Talleres Verticales,,,Taller interdisciplinario de diseño aplicado al entorno (Taller Invitado 2),Roberto Herrera + Sebastián Rodríguez,DIS8651,MA 14:30 - 18:45 - VI 08:30 - 12:50,,"Este taller propone una aproximación multidisciplinaria al diseño, integrando las diversas disciplinas del diseño en el desarrollo de productos y sistemas capaces de sensar y comunicar variables del entorno, en el marco de la ciencia ciudadana y la ciencia abierta. El curso se inicia con la detección de oportunidades o problemáticas mediante investigación de escritorio y de campo, permitiendo comprender el contexto, los usuarios y el entorno, y delimitar una metodología de proyecto que considere su factibilidad técnica y viabilidad de uso. A partir de ello, los estudiantes desarrollarán propuestas que integren arquitectura de producto, materialidad, experiencia de uso y comunicación visual, traduciendo datos ambientales en información clara, accesible y significativa. El taller avanza desde prototipos básicos en materiales simples y textiles hacia sistemas más integrados, promoviendo soluciones de diseño replicables que articulen objeto, cuerpo, entorno y comunicación, y posicionen al diseño como mediador entre fenómenos ambientales y conocimiento compartido.",p22_00.jpg; p22_01.jpg; p22_02.jpg
23,Talleres Verticales,,,Taller de Visualización experimental de datos,Sergio Mora-Díaz + Joaquín González,DIS8652,MA 14:30 - 18:45 -,@tallerdataudp,"La producción y la visualización de datos han tenido en las últimas décadas un crecimiento exponencial de la mano del desarrollo de herramientas digitales, convirtiéndose en una vía relevante para comprender temas complejos y presentarlos en diversos formatos. Este fenómeno ha tenido un impacto significativo en diversas áreas de producción vinculadas al diseño y el arte, cambiando progresivamente la forma en que pensamos, percibimos y sentimos los fenómenos que ocurren a escala local y global. Este taller ofrece la oportunidad de explorar el uso de datos como una herramienta de diseño. Mediante un enfoque teórico-práctico basado en la investigación y el desarrollo de prototipos, los estudiantes diseñan sistemas para la recolección, procesamiento y transferencia de datos sobre fenómenos contemporáneos relevantes. Esto permitirá la creación de dispositivos y experiencias que abstraen, cuestionan y comunican información para distintas audiencias y aplicaciones, integrando herramientas gráficas, materiales e interactivas. De esta manera, se busca que los estudiantes transformen los datos en experiencias significativas, promoviendo nuevas formas de comunicación y reflexión a través del diseño.",p23_00.jpg; p23_01.jpg
25,Cursos de Profundización,,,Diseño escénico,Loreto Martínez,DIS9025,LU 10:00 - 12:50,,"Curso electivo teórico-práctico que permite adquirir, aplicar e integrar conocimientos y técnicas de diseño escénico a nivel introductorio. El diseño escénico es la disciplina encargada de proyectar y concretar el despliegue material de cualquier espectáculo en vivo (teatro, danza, circo, concierto, ópera, performance, etc); integrando vestuario, maquillaje, máscaras, peluquería, tocados, escenografía, utilerías, marionetas, iluminación y audiovisuales. Así, el curso se propone potenciar de manera transversal la dimensión autoral, la expresividad material, el estudio de la funcionalidad, la potencia artística y la integración del diseño, enfatizando la comprensión del cuerpo como protagonista de la experiencia escénica. En lo metodológico, combina clases teóricas y trabajo de taller individual y colectivo, complejizando sistemáticamente los conocimientos para llegar al desarrollo de una propuesta integral de diseño escénico (diseño de personajes, espacialidad, objetos e iluminación) inspirada en un texto dramatúrgico contemporáneo. Crédito fotografía: Obra de teatro ""Callas, la hija del destino"". Diseño integral: Loreto Martínez Labarca. Fotografía de Francisco Melo. Teatro Municipal de Santiago, 2023.",p25_00.jpg
26,Cursos de Profundización,,,Introducción a la ciencia biomaterial,Margarita Talep,DIS9032,LU 14:30 - 17:20,,"El curso busca entregar conocimientos básicos sobre ciencia de materiales aplicada a biomateriales. El área de desarrollo Biomaterial se inserta en la disciplina del Biodiseño, el cual busca generar soluciones con, desde y para organismos vivos, lo que requiere un conocimiento exhaustivo y una observación constante con respecto a nuestro entorno y los sistemas complejos y vivos que él mismo alberga. En la disciplina, se generan conexiones entre biología, ciencia y tecnología asociadas a un territorio en particular. La metodología de trabajo consiste en el diseño de nuevas materialidades con origen biológico (algas, plantas, desechos de materia verde o café, entre otros), dando especial énfasis en lo observativo, especulativo, iterativo y el registro riguroso que compone todo el proceso de diseño de un nuevo material. Entregando herramientas que ayuden a conducir una experimentación desde el propio interés del estudiante. La dinámica considera clases expositivas teórico-prácticas, discusión bibliográfica, estudio de referentes y reflexiones sobre la materia.",p26_00.jpg
27,Cursos de Profundización,,,Narrativas visuales e inteligencia artificial,Manuel Córdova,DIS9033,Sección 1: LU 10:00 - 12:50,@nvia_udp,"Curso de carácter teórico-práctico orientado al estudio y desarrollo de proyectos de creación de narrativas visuales a través de herramientas de Inteligencia Artificial. La asignatura explora las posibilidades que ofrece la articulación responsable de textos descriptivos e instrucciones para plataformas de generación de imágenes. El curso contempla tres unidades temáticas: Narrativa, gramática y sintaxis de la imagen generativa; Tipologías de imágenes IA: librerías y estilos; Narrativas complejas: storytelling, diseño de secuencias y sistemas.",p27_00.jpg; p27_01.jpg
28,Cursos de Profundización,,,Animación digital experimental,Valentina Vega,DIS9037,MI 11:30 - 14:20,@animacion_digital_udp,"Este curso está enfocado en el aprendizaje y exploración de diferentes técnicas de animación digital aplicadas a formatos no convencionales de video a través de una fuerte vinculación musical. Los estudiantes aprenderán a generar contenido visual en tiempo real, utilizar herramientas y estrategias para conectar imagen y sonido, y aplicar principios de audioreactividad. El programa profundiza en el desarrollo de habilidades técnicas en After Effects y el uso de software para VJ como Resolume Arena. Además, se explorarán formatos no convencionales, como el videomapping, pantallas LED y configuraciones multiscreen, y se abordará el concepto de la imagen como fuente lumínica, destacando su potencial como herramienta comunicacional. Al final de este curso los estudiantes tendrán un manejo avanzado de la relación simbiótica entre la imagen y el sonido a través del uso del ritmo, la narrativa, el color, la iluminación y la espacialidad de una pieza en movimiento.",p28_00.jpg; p28_01.jpg
29,Cursos de Profundización,,,Fabricación digital avanzada,Alexander Bustamante,DIS9039,MI 14:30 - 17:20,,"Este curso ofrece a los participantes una comprensión profunda de las tecnologías emergentes y procesos avanzados en la fabricación digital. A través de una combinación de teoría y práctica, los estudiantes adquirirán habilidades en diseño asistido por computadora (CAD), explorarán tecnologías como la impresión 3D y la fabricación aditiva, y aprenderán a integrar estas innovaciones en procesos de producción existentes. El curso incluye la aplicación práctica de herramientas de simulación y prototipado rápido, análisis de estudios de casos, y la colaboración en proyectos prácticos para aplicar los conocimientos adquiridos. El objetivo es preparar a los participantes para destacar en un entorno industrial cada vez más digital y tecnológico.",p29_00.jpg; p29_01.jpg; p29_02.jpg; p29_03.jpg
30,Cursos de Profundización,,,Color: manejo y aplicación en diseño,Benjamín Müller,DIS9040,VI 14:30 - 17:20,,"Curso focalizado en el reconocimiento del fenómeno del color, desde la observación a la práctica del diseño. A través de ejercicios gráficos, este curso propone la adquisición de una metodología -paso a paso- para la aplicación profesional del color, desde la necesidad de diseño y la conceptualización, hasta su evaluación en el producto final. Basado en la observación y el uso de herramientas tecnológicas, los estudiantes serán capaces de elegir un plan de color para un proyecto, justificando su decisión, proponiendo paletas cromáticas originales y valorando el color como uno de los principales recursos de la comunicación visual, el diseño de objetos y espacios. El foco del curso está en desarrollar y poner en práctica la sensibilidad visual del estudiante a través de la experiencia, mediante un proceso de exploración, comparación y reflexión.",p30_00.jpg
31,Cursos de Profundización,,,Publicación editorial y libro de artista,Sebastián Barrante,DIS9044,MI 14:30 - 17:20,@losotroslibros_udp,"Curso que explora las complejidades conceptuales, históricas y materiales en torno a las publicaciones de artista, reconociéndolas como obras artísticas en las que se tensionan conceptos como publicación, libro, autoría y formas de lectura. El estudio de estas tensiones conceptuales permitirá a les estudiantes enriquecer su léxico visual y dar sustancia a sus procesos de desarrollo de obras de diseño. El curso contempla el estudio de definiciones y referentes históricos a nivel nacional e internacional, para luego profundizar problemas conceptuales y de categorización a través de la revisión de obras editoriales y el estudio de casos. De este modo, se mezclará el análisis de obras de distinta índole con el fin de proporcionar una muestra polifónica de referencias. Las clases están compuestas por sesiones expositivas, ejercicios prácticos y salidas a terreno. Les alumnes acompañarán sus procesos con la construcción de una publicación colaborativa que será desarrollada de forma conjunta durante el semestre.",p31_00.jpg
